country,matching,texture,types,subcategory,,price,content,img
그리스,"와인, 채소볶음, 샐러드, 파스타",소프트치즈,가공치즈,페타,,"8,900원",페타 치즈의 향긋 짭조름한 변신,https://img-cf.kurly.com/shop/data/goods/1524026574704l0.jpg
미국,"과일, 와인, 맥주",세미하드치즈,가공치즈,벨라비타노,샤도네이,"13,500원",샤도네이의 향취가 그윽하게 밴,https://img-cf.kurly.com/shop/data/goods/1563946079157l0.jpg
프랑스,"라비올리, 초당옥수수, 맥주, 와인",소프트치즈,가공치즈,트러플치즈,염소젖,"8,500원",풍부한 산미 속 트러플 향,https://img-cf.kurly.com/shop/data/goods/1567477562826l0.jpg
프랑스,"와인, 테이블치즈, 과일, 샤퀴테리",세미하드치즈,가공치즈,벨라비타노,메를로,"13,500원",치즈에 남은 와인의 자취,https://img-cf.kurly.com/shop/data/goods/1544517499138l0.jpg
네덜란드,"와인, 맥주, 크래커, 빵, 샌드위치, 샐러드",세미하드치즈,자연치즈,에담,,"6,600원","네덜란드의 부드러운 풍미, 지방을 제거한 우유로 만들어 담백한 치즈",https://img-cf.kurly.com/shop/data/goods/1452165115212l0.jpg
프랑스,"테이블치즈, 빵, 와인, 맥주",소프트치즈,자연치즈,까망베르,,"11,900원",오감을 부드럽게 채우는 당신이 몰랐던 까망베르,https://img-cf.kurly.com/shop/data/goods/1477568051626l0.jpg
네덜란드,"와인, 카나페, 맥주",하드치즈,자연치즈,프리마돈나,피노,"10,000원",파마산 치즈와 그뤼에르 치즈가 섞인 네덜란드 치즈!,https://img-cf.kurly.com/shop/data/goods/1549865117151l0.jpg
네덜란드,"와인, 카나페, 맥주",하드치즈,자연치즈,프리마돈나,머츄어,"10,000원",파마산 치즈와 그뤼에르 치즈가 섞인 네덜란드 치즈!,https://img-cf.kurly.com/shop/data/goods/1549865117151l0.jpg
미국,"테이블치즈, 샌드위치, 샐러드",세미하드치즈,자연치즈,시에라잭트레디셔날,모짜렐라대용,"14,000원",가볍고 부드러운 맛을 지닌,https://img-cf.kurly.com/shop/data/goods/1577085195249l0.jpg
이탈리아,"파스타, 그라탕, 샐러드, 피자, 와인, 발사믹 식초",하드치즈,자연치즈,파르미지아노 레지아노,,"8,900원",[컬리 Only] 18개월 숙성 치즈의 부드러운 깊은 맛,https://img-cf.kurly.com/shop/data/goods/1597383414438l0.jpg
이탈리아,"베이글, 페이스트리, 와인, 맥주, 커피, 위스키",세미하드치즈,가공치즈,벨라비타노,에스프레소,"13,500원",미국 아티장 치즈의 감각적인 맛,https://img-cf.kurly.com/shop/data/goods/1571108248831l0.jpg
이탈리아,"와인, 맥주, 피자, 크래커, 파스타, 딥소스",세미하드치즈,자연치즈,고르곤졸라,,"9,900원",부드럽게 녹아내리는 블루 치즈,https://img-cf.kurly.com/shop/data/goods/1558944332697l0.jpg
미국,"과일, 맥주, 와인, 위스키",세미하드치즈,자연치즈,체다,,"13,900원",본고장을 넘어선 미국 전통 치즈,https://img-cf.kurly.com/shop/data/goods/1531114195123l0.jpg
영국,"샐러드, 파스타, 와인, 스테이크",세미하드치즈,자연치즈,체다,,"7,200원","스낵, 안주, 요리, 어떻게 먹어도 맛있는 짭짤한 치즈",https://img-cf.kurly.com/shop/data/goods/159304911058l0.jpg
미국,"샐러드, 리소토, 파스타, 프라타타, 와인, 맥주",세미하드치즈,자연치즈,벨라비타노,,"13,500원",미국 아티장 치즈의 창의적인 맛,https://img-cf.kurly.com/shop/data/goods/1571108301238l0.jpg
이탈리안,"샐러드, 빵, 카나페, 라자냐, 파스타",후레쉬치즈,자연치즈,리코타,,"14,000원",유기농 유청으로 만든 이탈리안 치즈,https://img-cf.kurly.com/shop/data/goods/1531990784418l0.jpg
네덜란드,"샌드위치, 토스트, 카나페, 와인, 맥주",세미하드치즈,자연치즈,고다,,"12,500원",고급 품종인 저지 소의 우유로 만든 고다 치즈,https://img-cf.kurly.com/shop/data/goods/1577777190648l0.jpg
프랑스,"빵, 샐러드, 크레페, 와인",후레쉬치즈,자연치즈,쉐브르,,"14,100원",부드럽고 산뜻한 염소치즈,https://img-cf.kurly.com/shop/data/goods/big/201511/292_shop1_543978.jpg
미국,"팬케이크, 잼, 와인, 맥주",하드치즈,자연치즈,체다,,"11,500원",미국식 체다 치즈의 매력,https://img-cf.kurly.com/shop/data/goods/1563949642720l0.jpg
